stim,trial,contract,date,total,swim,rolling
1.0,Trial 1,1.0,2024_07_31,4,3,1.0
2.0,Trial 1,1.0,2024_07_31,4,3,1.0
3.0,Trial 1,1.0,2024_07_31,4,3,1.0
4.0,Trial 1,0.5,2024_07_31,4,3,0.5
5.0,Trial 1,0.5,2024_07_31,4,3,0.8
6.0,Trial 1,0.25,2024_07_31,4,3,0.65
7.0,Trial 1,1.0,2024_07_31,4,3,0.65
8.0,Trial 1,0.5,2024_07_31,4,3,0.55
9.0,Trial 1,0.0,2024_07_31,4,3,0.45
10.0,Trial 1,0.25,2024_07_31,4,3,0.4
11.0,Trial 1,0.0,2024_07_31,4,3,0.35
12.0,Trial 1,0.25,2024_07_31,4,3,0.2
13.0,Trial 1,0.0,2024_07_31,4,3,0.1
14.0,Trial 1,0.25,2024_07_31,4,3,0.15
15.0,Trial 1,0.0,2024_07_31,4,3,0.1
16.0,Trial 1,0.25,2024_07_31,4,3,0.15
17.0,Trial 1,0.0,2024_07_31,4,3,0.1
18.0,Trial 1,0.5,2024_07_31,4,3,0.2
19.0,Trial 1,0.0,2024_07_31,4,3,0.15
20.0,Trial 1,0.0,2024_07_31,4,3,0.15
21.0,Trial 1,0.25,2024_07_31,4,3,0.15
22.0,Trial 1,0.0,2024_07_31,4,3,0.15
23.0,Trial 1,0.25,2024_07_31,4,3,0.1
24.0,Trial 1,0.0,2024_07_31,4,3,0.1
25.0,Trial 1,0.25,2024_07_31,4,3,0.15
26.0,Trial 1,0.0,2024_07_31,4,3,0.1
27.0,Trial 1,0.25,2024_07_31,4,3,0.15
28.0,Trial 1,0.25,2024_07_31,4,3,0.15
29.0,Trial 1,0.0,2024_07_31,4,3,0.15
30.0,Trial 1,0.25,2024_07_31,4,3,0.15
1.0,Trial 2,0.75,2024_07_31,4,3,0.3
2.0,Trial 2,0.0,2024_07_31,4,3,0.25
3.0,Trial 2,0.0,2024_07_31,4,3,0.2
4.0,Trial 2,0.25,2024_07_31,4,3,0.25
5.0,Trial 2,0.25,2024_07_31,4,3,0.25
6.0,Trial 2,0.25,2024_07_31,4,3,0.15
7.0,Trial 2,0.25,2024_07_31,4,3,0.2
8.0,Trial 2,0.25,2024_07_31,4,3,0.25
9.0,Trial 2,0.0,2024_07_31,4,3,0.2
10.0,Trial 2,0.75,2024_07_31,4,3,0.3
11.0,Trial 2,0.0,2024_07_31,4,3,0.25
12.0,Trial 2,0.25,2024_07_31,4,3,0.25
13.0,Trial 2,0.0,2024_07_31,4,3,0.2
14.0,Trial 2,0.0,2024_07_31,4,3,0.2
15.0,Trial 2,0.25,2024_07_31,4,3,0.1
16.0,Trial 2,0.25,2024_07_31,4,3,0.15
17.0,Trial 2,0.0,2024_07_31,4,3,0.1
18.0,Trial 2,0.25,2024_07_31,4,3,0.15
19.0,Trial 2,0.0,2024_07_31,4,3,0.15
20.0,Trial 2,0.0,2024_07_31,4,3,0.1
21.0,Trial 2,0.0,2024_07_31,4,3,0.05
22.0,Trial 2,0.25,2024_07_31,4,3,0.1
23.0,Trial 2,0.0,2024_07_31,4,3,0.05
24.0,Trial 2,0.0,2024_07_31,4,3,0.05
25.0,Trial 2,0.0,2024_07_31,4,3,0.05
26.0,Trial 2,0.0,2024_07_31,4,3,0.05
27.0,Trial 2,0.0,2024_07_31,4,3,0.0
28.0,Trial 2,0.25,2024_07_31,4,3,0.05
29.0,Trial 2,0.25,2024_07_31,4,3,0.1
30.0,Trial 2,0.25,2024_07_31,4,3,0.15
1.0,Trial 1,1.0,2024_07_28,15,3,1.0
2.0,Trial 1,1.0,2024_07_28,15,3,1.0
3.0,Trial 1,1.0,2024_07_28,15,3,1.0
4.0,Trial 1,1.0,2024_07_28,15,3,1.0
5.0,Trial 1,1.0,2024_07_28,15,3,1.0
6.0,Trial 1,0.9333333333333333,2024_07_28,15,3,0.9866666666666667
7.0,Trial 1,0.9333333333333333,2024_07_28,15,3,0.9733333333333334
8.0,Trial 1,1.0,2024_07_28,15,3,0.9733333333333334
9.0,Trial 1,0.9333333333333333,2024_07_28,15,3,0.96
10.0,Trial 1,1.0,2024_07_28,15,3,0.96
11.0,Trial 1,1.0,2024_07_28,15,3,0.9733333333333334
12.0,Trial 1,0.9333333333333333,2024_07_28,15,3,0.9733333333333334
13.0,Trial 1,0.8666666666666667,2024_07_28,15,3,0.9466666666666669
14.0,Trial 1,0.8,2024_07_28,15,3,0.9200000000000002
15.0,Trial 1,0.9333333333333333,2024_07_28,15,3,0.9066666666666666
16.0,Trial 1,0.9333333333333333,2024_07_28,15,3,0.8933333333333333
17.0,Trial 1,0.6666666666666666,2024_07_28,15,3,0.8400000000000001
18.0,Trial 1,0.8666666666666667,2024_07_28,15,3,0.8400000000000001
19.0,Trial 1,0.8,2024_07_28,15,3,0.8400000000000001
20.0,Trial 1,0.8666666666666667,2024_07_28,15,3,0.8266666666666665
21.0,Trial 1,0.6,2024_07_28,15,3,0.76
22.0,Trial 1,0.6,2024_07_28,15,3,0.7466666666666667
23.0,Trial 1,0.7333333333333333,2024_07_28,15,3,0.72
24.0,Trial 1,0.7333333333333333,2024_07_28,15,3,0.7066666666666668
25.0,Trial 1,0.6,2024_07_28,15,3,0.6533333333333333
26.0,Trial 1,0.6,2024_07_28,15,3,0.6533333333333333
27.0,Trial 1,0.6,2024_07_28,15,3,0.6533333333333333
28.0,Trial 1,0.5333333333333333,2024_07_28,15,3,0.6133333333333333
29.0,Trial 1,0.4666666666666667,2024_07_28,15,3,0.5599999999999999
30.0,Trial 1,0.6666666666666666,2024_07_28,15,3,0.5733333333333334
31.0,Trial 1,0.4666666666666667,2024_07_28,15,3,0.5466666666666666
32.0,Trial 1,0.5333333333333333,2024_07_28,15,3,0.5333333333333333
33.0,Trial 1,0.5333333333333333,2024_07_28,15,3,0.5333333333333333
34.0,Trial 1,0.6,2024_07_28,15,3,0.5599999999999999
35.0,Trial 1,0.4666666666666667,2024_07_28,15,3,0.52
36.0,Trial 1,0.4,2024_07_28,15,3,0.5066666666666666
37.0,Trial 1,0.4,2024_07_28,15,3,0.48
38.0,Trial 1,0.6,2024_07_28,15,3,0.49333333333333335
39.0,Trial 1,0.4666666666666667,2024_07_28,15,3,0.4666666666666667
40.0,Trial 1,0.4,2024_07_28,15,3,0.4533333333333333
41.0,Trial 1,0.26666666666666666,2024_07_28,15,3,0.42666666666666664
42.0,Trial 1,0.4666666666666667,2024_07_28,15,3,0.44000000000000006
43.0,Trial 1,0.5333333333333333,2024_07_28,15,3,0.42666666666666664
44.0,Trial 1,0.5333333333333333,2024_07_28,15,3,0.43999999999999995
45.0,Trial 1,0.4,2024_07_28,15,3,0.43999999999999995
46.0,Trial 1,0.5333333333333333,2024_07_28,15,3,0.4933333333333333
47.0,Trial 1,0.5333333333333333,2024_07_28,15,3,0.5066666666666666
48.0,Trial 1,0.4666666666666667,2024_07_28,15,3,0.49333333333333335
49.0,Trial 1,0.4666666666666667,2024_07_28,15,3,0.4800000000000001
